Id,colorfullness,max_step_total,sum_step_total,mean_step_total,standard_deviation,Id (clusters),Id (clusters) 2,Id (clusters) 3,Id (clusters) 4,Id (clusters) 5
Persona_7,0.243309464260902,959.6,39224.6,233.479761904762,217.137147947998,Cluster3,Cluster3,Cluster3,Cluster3,Cluster3
Persona_13,0.134526854219949,684.25,15464.4,92.05,121.052379822597,Cluster5,Cluster5,Cluster5,Cluster5,Cluster5
Persona_5,0.0693217383998151,566.75,6600.4,39.2880952380952,81.6175647889973,Cluster4,Cluster4,Cluster4,Cluster4,Cluster4
Persona_30,0.140903740335725,2563.75,60688.65,361.241964285714,485.210967473181,Cluster1,Cluster1,Cluster7,Cluster7,Cluster7
Persona_27,0.0961563931406589,4089.8,66067.75,393.260416666667,692.723189211001,Cluster1,Cluster1,Cluster1,Cluster1,Cluster1
Persona_21,0.1982741637318,1764.5,58775.6,349.854761904762,364.204828809991,Cluster2,Cluster2,Cluster2,Cluster2,Cluster2
Persona_20,0.117132871823768,3105.75,61115.95,363.785416666667,506.558403132699,Cluster1,Cluster1,Cluster1,Cluster7,Cluster8
Persona_19,0.192929046618647,1904,61712.6,367.336904761905,406.927347895689,Cluster2,Cluster2,Cluster2,Cluster2,Cluster2
Persona_22,0.253570704932684,1096.75,46721.4166666667,278.103670634921,280.429830214309,Cluster3,Cluster3,Cluster3,Cluster3,Cluster3
Persona_16,0.233212870352897,1892.5,74147.7,441.355357142857,482.638366665201,Cluster2,Cluster2,Cluster2,Cluster2,Cluster2
Persona_23,0.122138044124637,1995.25,40940.9166666667,243.695932539683,305.422594376618,Cluster5,Cluster1,Cluster7,Cluster7,Cluster7
Persona_15,0.163500747748296,1759.25,48323.3,287.638690476191,336.829717280888,Cluster5,Cluster1,Cluster7,Cluster7,Cluster7
Persona_1,0.226103971448255,2298.25,87300.1,519.643452380952,588.458891218033,Cluster2,Cluster2,Cluster2,Cluster2,Cluster2
Persona_29,0.0852600705980066,3440,49273.5,293.294642857143,603.482584794186,Cluster1,Cluster1,Cluster1,Cluster1,Cluster1
Persona_4,0.159751232403314,702.75,18860.55,112.265178571429,140.881178167535,Cluster5,Cluster5,Cluster5,Cluster5,Cluster5
Persona_8,0.270526324384349,729,33131.9,197.21369047619,138.039151591477,Cluster3,Cluster3,Cluster3,Cluster3,Cluster3
Persona_33,0.146752319854606,4606.2,113563.05,675.970535714286,859.258404407863,Cluster1,Cluster6,Cluster6,Cluster6,Cluster6
Persona_17,0.111722109953884,1838,34498,205.345238095238,242.207330769559,Cluster5,Cluster1,Cluster7,Cluster7,Cluster7
Persona_10,0.149109745529032,2115.5,52994.2,315.441666666667,377.218779068256,Cluster5,Cluster1,Cluster7,Cluster7,Cluster7
Persona_3,0.130705631759003,2349.6,51593.8,307.105952380952,441.807534346174,Cluster5,Cluster1,Cluster7,Cluster7,Cluster7
Persona_14,0.142983931240658,1115,15305,159.427083333333,260.589225953722,Cluster5,Cluster5,Cluster5,Cluster5,Cluster5
Persona_24,0.0643219243176065,1737,18770.1666666667,111.727182539683,226.861429313834,Cluster4,Cluster4,Cluster4,Cluster4,Cluster4
Persona_25,0.130506946237283,3181.75,69760.4,415.240476190476,537.253038861987,Cluster1,Cluster1,Cluster1,Cluster7,Cluster8
Persona_28,0.13359854406014,4706.5,105635.3,628.781547619048,970.846849413775,Cluster1,Cluster6,Cluster6,Cluster6,Cluster6
Persona_31,0.13844451422089,1763,41005.05,244.077678571429,348.76522362911,Cluster5,Cluster1,Cluster7,Cluster7,Cluster7
Persona_6,0.14310215394759,3322.25,79870.75,475.421130952381,641.363135858775,Cluster1,Cluster1,Cluster1,Cluster7,Cluster8
Persona_32,0.170453103990664,469.25,13437.5,79.9851190476191,105.218334162984,Cluster5,Cluster5,Cluster5,Cluster5,Cluster5
Persona_26,0.0981620966880601,4904.33333333333,80878.5,481.419642857143,746.87833946326,Cluster1,Cluster1,Cluster1,Cluster1,Cluster1
Persona_2,0.108591956277294,2276.25,41526.65,247.18244047619,373.576479115336,Cluster5,Cluster1,Cluster7,Cluster7,Cluster7
Persona_12,0.190905008185203,2465.25,79065.6,470.628571428571,541.391890468103,Cluster2,Cluster2,Cluster2,Cluster2,Cluster2
Persona_9,0.0903242236750917,4752.5,72116.6666666667,429.265873015873,649.990106822884,Cluster1,Cluster1,Cluster1,Cluster1,Cluster1
Persona_18,0.211792379712302,1536,54652.6,325.313095238095,349.752944830777,Cluster2,Cluster2,Cluster2,Cluster2,Cluster2
Persona_11,0.196915486185398,1469,48597.1666666667,289.268849206349,324.950922182485,Cluster2,Cluster2,Cluster2,Cluster2,Cluster2
